UVIG	Taxon_oid	Scaffold_oid	Coordinates ('whole' if the UViG is the entire contig)	Ecosystem classification	vOTU	Length	Topology	geNomad score	Confidence	Estimated completeness	Estimated contamination	MIUViG quality	Gene content (total genes;cds;tRNA;geNomad marker)	Taxonomic classification	Taxonomic classification method	Host taxonomy prediction	Host prediction method	Sequence origin (doi)
IMGVR_UViG_3300008668_000001	3300008668	Ga0111494_100116	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_01768727	29269	Linear	0.9779	High-confidence	99.36	0	High-quality	43;43;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698361_000001	2595698361	2595727343	whole	;;;	vOTU_08673413	29266	Linear	0.9761	High-confidence	99.35	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300006215_000001	3300006215	Ga0099397_10064	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01398314	29265	Linear	0.975	High-confidence	99.35	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2974638490_000001	2974638490	2974638490	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673509	29264	Linear	0.9743	High-confidence	99.34	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795524_000001	2706795524	2706857675	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673509	29264	Linear	0.9742	High-confidence	99.34	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus PHL117M00	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638541_000001	2974638541	2974638541	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673509	29264	Linear	0.9742	High-confidence	99.34	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795528_000001	2706795528	2706857679	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673511	29261	Linear	0.9772	High-confidence	99.33	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796123_000001	2706796123	2706858368	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674475	29254	Linear	0.9781	High-confidence	99.31	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2974638287_000001	2974638287	2974638287	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673509	29255	Linear	0.9742	High-confidence	99.31	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706796128_000001	2706796128	2706858373	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674473	29249	Linear	0.9765	High-confidence	99.29	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795534_000001	2706795534	2706857685	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673515	29247	Linear	0.9789	High-confidence	99.28	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300007012_000001	3300007012	Ga0103283_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01621118	29247	Linear	0.9775	High-confidence	99.28	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698929_000001	2595698929	2595727911	whole	;;;	vOTU_00222746	29214	Linear	0.9788	High-confidence	99.16	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300006992_000002	3300006992	Ga0102975_10002	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01620636	29211	Linear	0.9782	High-confidence	99.16	0	High-quality	44;44;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698933_000001	2595698933	2595727915	whole	;;;	vOTU_08673402	29202	Linear	0.9776	High-confidence	99.13	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2595698367_000001	2595698367	2595727349	whole	;;;	vOTU_08673414	29200	Linear	0.9778	High-confidence	99.12	0	Reference	44;44;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300007270_000003	3300007270	Ga0104841_100107	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_01649898	29142	Linear	0.9768	High-confidence	98.93	0	High-quality	44;44;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2595698362_000001	2595698362	2595727344	whole	;;;	vOTU_08673412	29140	Linear	0.9795	High-confidence	98.92	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300045988_108012	3300045988	Ga0495776_076946	whole	Host-associated;Mammals: Human;Digestive system;Large intestine	vOTU_00856569	29122	Linear	0.9777	High-confidence	98.86	0	High-quality	45;45;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300001495_000006	3300001495	M534_100006	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00856430	29109	Linear	0.9782	High-confidence	98.82	0	High-quality	47;47;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_651703072_000001	651703072	651703080	whole	;;;	vOTU_08673190	29074	Linear	0.9788	High-confidence	98.7	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_651703073_000001	651703073	651703079	whole	;;;	vOTU_08673191	29017	Linear	0.9783	High-confidence	98.5	0	Reference	46;46;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2706795531_000001	2706795531	2706857682	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08673513	29003	Linear	0.9783	High-confidence	98.46	0	Reference	42;42;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_2716885045_000001	2716885045	2716943105	whole	Host-associated;Microbial;Bacteria;Unclassified	vOTU_08674476	28876	Linear	0.9779	High-confidence	98.02	0	Reference	45;45;0;	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;g__Pahexavirus;s__Pahexavirus attacne	RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	RefSeq r213 (10.1093/nar/gkv1189)
IMGVR_UViG_3300012439_000004	3300012439	Ga0118338_100004	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665137	28763	Linear	0.9808	High-confidence	97.63	0	High-quality	43;43;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300006994_000001	3300006994	Ga0102729_100002	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01620645	28442	Linear	0.9775	High-confidence	96.55	0	High-quality	45;45;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300045988_089019	3300045988	Ga0495776_092224	whole	Host-associated;Mammals: Human;Digestive system;Large intestine	vOTU_07974545	28323	Linear	0.9792	High-confidence	96.15	0	High-quality	43;43;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300012456_000005	3300012456	Ga0118183_100007	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665124	28271	Linear	0.9801	High-confidence	95.96	0	High-quality	42;42;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013455_000001	3300013455	Ga0118499_10014	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02654651	28259	Linear	0.9802	High-confidence	95.92	0	High-quality	42;42;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300045988_104163	3300045988	Ga0495776_092016	whole	Host-associated;Mammals: Human;Digestive system;Large intestine	vOTU_07968708	28243	Linear	0.9782	High-confidence	95.88	0	High-quality	41;41;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013328_000001	3300013328	Ga0118307_100023	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02667433	28235	Linear	0.9775	High-confidence	95.84	0	High-quality	42;42;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013909_000001	3300013909	Ga0117851_10029	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02667433	28180	Linear	0.9771	High-confidence	95.66	0	High-quality	42;42;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007886_000001	3300007886	Ga0111233_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01649898	28139	Linear	0.9758	High-confidence	95.52	0	High-quality	42;42;0;38	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007872_000001	3300007872	Ga0114176_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01768721	28091	Linear	0.9788	High-confidence	95.35	0	High-quality	43;43;0;41	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013590_000001	3300013590	Ga0118469_10001	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665124	27938	Linear	0.9793	High-confidence	94.83	0	High-quality	42;42;0;38	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300045988_139884	3300045988	Ga0495776_131755	whole	Host-associated;Mammals: Human;Digestive system;Large intestine	vOTU_02808954	27911	Linear	0.9767	High-confidence	94.75	0	High-quality	42;42;0;38	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300012427_000004	3300012427	Ga0118624_100003	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665124	27728	Linear	0.9792	High-confidence	94.12	0	High-quality	42;42;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007902_000001	3300007902	Ga0114311_10001	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01769466	27608	Linear	0.9758	High-confidence	93.72	0	High-quality	42;42;0;40	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2537561597_000001	2537561597	2537573690	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00222746	27208	Linear	0.9792	High-confidence	92.36	0	High-quality	39;39;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013584_000006	3300013584	Ga0118564_10007	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02665129	26926	Linear	0.9763	High-confidence	91.4	0	High-quality	43;43;0;39	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300022073_000039	3300022073	Ga0232666_10000217	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_03826907	26885	Linear	0.9772	High-confidence	91.26	0	High-quality	41;41;0;36	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300001503_000001	3300001503	M534_100039	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00856460	26123	Linear	0.9804	High-confidence	88.67	0	Genome fragment	41;41;0;38	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300022073_000028	3300022073	Ga0232666_10000275	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_04023809	22854	Linear	0.9786	High-confidence	77.58	0	Genome fragment	32;32;0;25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300022073_000041	3300022073	Ga0232666_10000276	whole	Environmental;Terrestrial;Deep subsurface;Rock	vOTU_04023809	22854	Linear	0.9764	High-confidence	77.58	0	Genome fragment	32;32;0;25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300001494_000003	3300001494	M534_100036	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00856424	22773	Linear	0.975	High-confidence	77.31	0	Genome fragment	35;35;0;28	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300012298_000001	3300012298	Ga0118234_100030	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_02604648	21451	Linear	0.9766	High-confidence	72.82	0	Genome fragment	29;29;0;25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007912_000001	3300007912	Ga0111232_10127	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01423818	21350	Linear	0.9767	High-confidence	72.47	0	Genome fragment	32;32;0;31	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	;;;;;;		geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007302_000002	3300007302	Ga0104927_100036	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01657575	20621	Linear	0.9799	High-confidence	70	0	Genome fragment	28;28;0;26	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300013871_000003	3300013871	Ga0181466_1000219	whole	Engineered;Built environment;Spacecraft Assembly Cleanrooms;Gowning room	vOTU_02827273	20606	Linear	0.9764	High-confidence	69.95	0	Genome fragment	33;33;0;30	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_7000000137_000001	7000000137	C113049	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_08494778	20310	Linear	0.9787	High-confidence	68.94	0	Genome fragment	32;32;0;33	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007878_000001	3300007878	Ga0114370_10109	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01768744	20226	Linear	0.9716	High-confidence	68.66	0	Genome fragment	36;36;0;31	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300001492_000001	3300001492	M534_100066	whole	Host-associated;Mammals: Human;Integumentary system;Skin	vOTU_00856408	20075	Linear	0.9798	High-confidence	68.15	0	Genome fragment	28;28;0;23	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300006429_000001	3300006429	Ga0100047_10116	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01423818	19895	Linear	0.9709	High-confidence	67.53	0	Genome fragment	30;30;0;29	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_3300007745_000001	3300007745	Ga0105577_10040	whole	Host-associated;Mammals: Human;Respiratory system;Nasal cavity	vOTU_01757408	18455	Linear	0.9803	High-confidence	62.65	0	Genome fragment	24;24;0;21	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;	CRISPR spacer match	geNomad v1.1.0 (10.5281/zenodo.7015982)
